Parent Name,Area Name,Sex,Time period,Value,Count,Compared to England value or percentiles,Compared to Region value or percentiles
South East region,Reading,Persons,2017 - 19,9.85390735235332,38.0,Similar,Similar
South East region,Slough,Persons,2017 - 19,8.8674765937404,31.0,Similar,Similar
South East region,Windsor and Maidenhead,Persons,2017 - 19,8.02346147414324,32.0,Similar,Similar
South East region,Wokingham,Persons,2017 - 19,6.77927429587632,29.0,Better,Similar
South East region,Milton Keynes,Persons,2017 - 19,8.94077179939952,63.0,Similar,Similar
South East region,Brighton and Hove,Persons,2017 - 19,14.2517116397984,108.0,Worse,Worse
South East region,Portsmouth,Persons,2017 - 19,13.0444713310767,68.0,Similar,Worse
South East region,Southampton,Persons,2017 - 19,11.367920853548,72.0,Similar,Similar
South East region,Isle of Wight,Persons,2017 - 19,11.1924349738002,41.0,Similar,Similar
North East region,County Durham,Persons,2017 - 19,13.4425500406868,185.0,Worse,Similar
North West region,Cheshire East,Persons,2017 - 19,10.1788993397398,99.0,Similar,Similar
North West region,Cheshire West and Chester,Persons,2017 - 19,8.41016504048488,77.0,Similar,Better
West Midlands region,Shropshire,Persons,2017 - 19,9.94311331513638,84.0,Similar,Similar
South West region,Cornwall,Persons,2017 - 19,12.708996152887,187.0,Worse,Similar
South West region,Isles of Scilly,Persons,2017 - 19,,,Not compared,Not compared
South West region,Wiltshire,Persons,2017 - 19,8.07285975556657,104.0,Better,Better
East of England region,Bedford,Persons,2017 - 19,10.8535349251951,48.0,Similar,Similar
East of England region,Central Bedfordshire,Persons,2017 - 19,7.91629165000486,59.0,Similar,Better
North East region,Northumberland,Persons,2017 - 19,12.7838261817046,101.0,Worse,Similar
South West region,"Bournemouth, Christchurch and Poole",Persons,2017 - 19,13.210614726546,138.0,Worse,Similar
South West region,Dorset,Persons,2017 - 19,12.5498130010037,123.0,Worse,Similar
South East region,Buckinghamshire UA,Persons,2017 - 19,9.21048965036134,129.0,Similar,Similar
North West region,Bolton,Persons,2017 - 19,11.2009598674128,82.0,Similar,Similar
North West region,Bury,Persons,2017 - 19,9.26188170713139,45.0,Similar,Similar
North West region,Manchester,Persons,2017 - 19,8.88145035172568,121.0,Similar,Better
North West region,Oldham,Persons,2017 - 19,8.53424110059235,50.0,Similar,Similar
North West region,Rochdale,Persons,2017 - 19,9.92333627429523,54.0,Similar,Similar
North West region,Salford,Persons,2017 - 19,13.7938740196844,90.0,Worse,Worse
North West region,Stockport,Persons,2017 - 19,8.80866002695476,68.0,Similar,Similar
North West region,Tameside,Persons,2017 - 19,9.42511639180069,55.0,Similar,Similar
North West region,Trafford,Persons,2017 - 19,8.10703231222509,49.0,Similar,Similar
North West region,Wigan,Persons,2017 - 19,13.5006414792395,116.0,Worse,Worse
North West region,Knowsley,Persons,2017 - 19,10.4405535204348,40.0,Similar,Similar
North West region,Liverpool,Persons,2017 - 19,9.85169159322624,126.0,Similar,Similar
North West region,St. Helens,Persons,2017 - 19,13.944002196846,65.0,Worse,Worse
North West region,Sefton,Persons,2017 - 19,10.041998697227,71.0,Similar,Similar
North West region,Wirral,Persons,2017 - 19,8.65044781613469,72.0,Similar,Similar
Yorkshire and the Humber region,Barnsley,Persons,2017 - 19,10.7234636627438,69.0,Similar,Similar
Yorkshire and the Humber region,Doncaster,Persons,2017 - 19,13.6754393654509,109.0,Worse,Similar
Yorkshire and the Humber region,Rotherham,Persons,2017 - 19,14.6017378250049,97.0,Worse,Similar
Yorkshire and the Humber region,Sheffield,Persons,2017 - 19,10.0070259338284,150.0,Similar,Better
North East region,Newcastle upon Tyne,Persons,2017 - 19,10.5339595689208,79.0,Similar,Similar
North East region,North Tyneside,Persons,2017 - 19,12.6258092813516,70.0,Similar,Similar
North East region,South Tyneside,Persons,2017 - 19,8.42716151778917,33.0,Similar,Similar
North East region,Sunderland,Persons,2017 - 19,12.4119314954203,91.0,Similar,Similar
West Midlands region,Birmingham,Persons,2017 - 19,8.65882484704827,236.0,Better,Better
West Midlands region,Coventry,Persons,2017 - 19,10.5751709235245,99.0,Similar,Similar
West Midlands region,Dudley,Persons,2017 - 19,10.5694851075349,87.0,Similar,Similar
West Midlands region,Sandwell,Persons,2017 - 19,10.8011183492166,89.0,Similar,Similar
West Midlands region,Solihull,Persons,2017 - 19,13.2654902318398,74.0,Worse,Worse
West Midlands region,Walsall,Persons,2017 - 19,9.01896225728246,65.0,Similar,Similar
West Midlands region,Wolverhampton,Persons,2017 - 19,9.20861788361125,61.0,Similar,Similar
Yorkshire and the Humber region,Bradford,Persons,2017 - 19,9.35267631283011,123.0,Similar,Better
Yorkshire and the Humber region,Calderdale,Persons,2017 - 19,14.7646955492501,81.0,Worse,Similar
Yorkshire and the Humber region,Kirklees,Persons,2017 - 19,10.7670342608538,122.0,Similar,Similar
Yorkshire and the Humber region,Leeds,Persons,2017 - 19,12.681133556927,261.0,Worse,Similar
Yorkshire and the Humber region,Wakefield,Persons,2017 - 19,13.4637665223075,120.0,Worse,Similar
North East region,Gateshead,Persons,2017 - 19,7.18439133348517,37.0,Better,Better
London region,City of London,Persons,2017 - 19,,4.0,Not compared,Not compared
London region,Barking and Dagenham,Persons,2017 - 19,6.06626537442725,32.0,Better,Similar
London region,Barnet,Persons,2017 - 19,6.70762068024313,66.0,Better,Similar
London region,Bexley,Persons,2017 - 19,8.924821796318,57.0,Similar,Similar
London region,Brent,Persons,2017 - 19,7.0707159808698,61.0,Better,Similar
London region,Bromley,Persons,2017 - 19,7.4362944476013,64.0,Better,Similar
London region,Camden,Persons,2017 - 19,11.343694151238,69.0,Similar,Worse
London region,Croydon,Persons,2017 - 19,9.53511931038284,93.0,Similar,Similar
London region,Ealing,Persons,2017 - 19,9.07283521456127,78.0,Similar,Similar
London region,Enfield,Persons,2017 - 19,5.88703780583564,50.0,Better,Better
London region,Greenwich,Persons,2017 - 19,8.87785582411797,59.0,Similar,Similar
London region,Hackney,Persons,2017 - 19,8.22936864286798,53.0,Similar,Similar
London region,Hammersmith and Fulham,Persons,2017 - 19,10.9581985026796,50.0,Similar,Similar
London region,Haringey,Persons,2017 - 19,9.56381704364164,65.0,Similar,Similar
London region,Harrow,Persons,2017 - 19,4.93276591923196,33.0,Better,Better
London region,Havering,Persons,2017 - 19,7.18096366544052,47.0,Better,Similar
London region,Hillingdon,Persons,2017 - 19,9.49598342018493,74.0,Similar,Similar
London region,Hounslow,Persons,2017 - 19,10.564505198884,71.0,Similar,Similar
London region,Islington,Persons,2017 - 19,10.41261446181,54.0,Similar,Similar
London region,Kensington and Chelsea,Persons,2017 - 19,9.1244964910046,38.0,Similar,Similar
London region,Kingston upon Thames,Persons,2017 - 19,10.3418034385336,47.0,Similar,Similar
London region,Lambeth,Persons,2017 - 19,8.14076673140918,63.0,Similar,Similar
London region,Lewisham,Persons,2017 - 19,8.93003399394367,68.0,Similar,Similar
London region,Merton,Persons,2017 - 19,7.31903541985168,38.0,Similar,Similar
London region,Newham,Persons,2017 - 19,6.59416021630616,56.0,Better,Similar
London region,Redbridge,Persons,2017 - 19,7.13941652874233,52.0,Better,Similar
London region,Richmond upon Thames,Persons,2017 - 19,9.2072776394125,46.0,Similar,Similar
London region,Southwark,Persons,2017 - 19,8.9197727402763,70.0,Similar,Similar
London region,Sutton,Persons,2017 - 19,10.3682562818646,54.0,Similar,Similar
London region,Tower Hamlets,Persons,2017 - 19,8.70362326947204,67.0,Similar,Similar
London region,Waltham Forest,Persons,2017 - 19,8.73430689914214,59.0,Similar,Similar
London region,Wandsworth,Persons,2017 - 19,8.76847324391982,66.0,Similar,Similar
London region,Westminster,Persons,2017 - 19,5.99536623336945,41.0,Better,Similar
East of England region,Cambridgeshire,Persons,2017 - 19,10.3589216327412,178.0,Similar,Similar
North West region,Cumbria,Persons,2017 - 19,12.1193591808291,157.0,Worse,Similar
East Midlands region,Derbyshire,Persons,2017 - 19,9.40399398640416,199.0,Similar,Similar
South West region,Devon,Persons,2017 - 19,11.9814175628137,253.0,Worse,Similar
South East region,East Sussex,Persons,2017 - 19,13.5276743949185,196.0,Worse,Worse
East of England region,Essex,Persons,2017 - 19,13.0115259124224,501.0,Worse,Worse
South West region,Gloucestershire,Persons,2017 - 19,10.2370536398915,170.0,Similar,Similar
South East region,Hampshire,Persons,2017 - 19,8.65731151010213,312.0,Better,Similar
East of England region,Hertfordshire,Persons,2017 - 19,9.17535105000672,283.0,Similar,Better
South East region,Kent,Persons,2017 - 19,10.3487995878018,421.0,Similar,Similar
North West region,Lancashire,Persons,2017 - 19,12.7535048157534,402.0,Worse,Worse
East Midlands region,Leicestershire,Persons,2017 - 19,7.82178432720609,144.0,Better,Better
East Midlands region,Lincolnshire,Persons,2017 - 19,11.2221678910697,224.0,Similar,Worse
East of England region,Norfolk,Persons,2017 - 19,11.056700134275,265.0,Similar,Similar
Yorkshire and the Humber region,North Yorkshire,Persons,2017 - 19,12.2519555336323,195.0,Worse,Similar
East Midlands region,Nottinghamshire,Persons,2017 - 19,9.13540502923342,199.0,Similar,Similar
South East region,Oxfordshire,Persons,2017 - 19,8.94764971177009,162.0,Similar,Similar
South West region,Somerset,Persons,2017 - 19,13.0657716087948,186.0,Worse,Similar
West Midlands region,Staffordshire,Persons,2017 - 19,11.5400154796713,266.0,Worse,Similar
East of England region,Suffolk,Persons,2017 - 19,9.53172250185252,188.0,Similar,Similar
South East region,Surrey,Persons,2017 - 19,8.18090944500409,255.0,Better,Better
West Midlands region,Warwickshire,Persons,2017 - 19,9.38202322696322,143.0,Similar,Similar
South East region,West Sussex,Persons,2017 - 19,9.67899522147934,216.0,Similar,Similar
West Midlands region,Worcestershire,Persons,2017 - 19,10.479799128822,164.0,Similar,Similar
